video,frames_testados,frames_com_deteccao,taxa,n_marcadores_medio,ids,nitidez_media
20260527_163953.mp4,71,71,1.000,1.00,"{"0": 71}",2715.0
20260527_164247.mp4,74,74,1.000,1.00,"{"0": 74}",2705.6
20260527_164352.mp4,73,73,1.000,1.00,"{"0": 73}",2650.4
20260527_164606.mp4,30,18,0.600,1.00,"{"0": 18}",919.7
20260527_164800.mp4,69,69,1.000,1.00,"{"0": 69}",1574.5
20260527_165001.mp4,64,64,1.000,1.00,"{"0": 64}",1593.3
20260527_165049.mp4,66,66,1.000,1.00,"{"0": 66}",1594.6
20260527_170048.mp4,64,64,1.000,1.00,"{"0": 64}",1217.1
20260527_170155.mp4,59,59,1.000,1.00,"{"0": 59}",1244.3
20260527_170231.mp4,56,56,1.000,1.00,"{"0": 56}",1249.4
20260527_170457.mp4,60,59,0.983,1.00,"{"0": 59}",703.6
20260527_170545.mp4,57,57,1.000,1.00,"{"0": 57}",693.6
20260527_170626.mp4,55,55,1.000,1.00,"{"0": 55}",683.8
