step,loss,lr,val_mediana_px,val_sub1px,val_sub2px,s_por_step
25,0.448463,3.75e-04,,,,0.35
50,0.471852,7.50e-04,,,,0.10
59,,,9.653,0.0046,0.0201,
75,0.439971,1.13e-03,,,,0.62
100,0.446482,1.50e-03,,,,0.10
118,,,9.953,0.0057,0.0241,
125,0.421260,1.87e-03,,,,0.61
150,0.425387,2.25e-03,,,,0.09
175,0.440315,2.63e-03,,,,0.10
177,,,10.122,0.0075,0.0299,
200,0.408258,3.00e-03,,,,0.61
225,0.386820,3.00e-03,,,,0.09
236,,,9.096,0.0063,0.0224,
250,0.391967,2.98e-03,,,,0.62
275,0.341569,2.96e-03,,,,0.09
295,,,7.370,0.0098,0.0356,
300,0.313541,2.92e-03,,,,0.62
325,0.281328,2.88e-03,,,,0.09
350,0.239473,2.83e-03,,,,0.09
354,,,7.110,0.0138,0.0563,
375,0.232374,2.77e-03,,,,0.62
400,0.210850,2.70e-03,,,,0.09
413,,,4.333,0.0368,0.1471,
425,0.178478,2.63e-03,,,,0.61
450,0.175909,2.54e-03,,,,0.10
472,,,3.216,0.0667,0.2402,
475,0.138200,2.45e-03,,,,0.62
500,0.148094,2.36e-03,,,,0.08
525,0.143936,2.26e-03,,,,0.10
531,,,3.911,0.0351,0.1534,
550,0.138648,2.15e-03,,,,0.61
575,0.142495,2.04e-03,,,,0.09
590,,,2.304,0.1293,0.4034,
600,0.111609,1.93e-03,,,,0.62
625,0.115273,1.81e-03,,,,0.09
649,,,2.982,0.0954,0.2759,
650,0.101249,1.69e-03,,,,0.64
675,0.104878,1.57e-03,,,,0.08
700,0.096154,1.45e-03,,,,0.09
708,,,2.364,0.1103,0.3994,
725,0.094042,1.33e-03,,,,0.62
750,0.092760,1.21e-03,,,,0.09
767,,,2.047,0.1511,0.4856,
775,0.106271,1.10e-03,,,,0.62
