step,loss,val_err_px,val_hit3px,s_por_step
25,0.229603,,,0.48
50,0.213054,,,0.20
75,0.199805,,,0.20
100,0.189372,,,0.20
125,0.179424,,,0.20
140,,145.270,0.0000,
150,0.169087,,,0.78
175,0.158173,,,0.16
200,0.150107,,,0.17
225,0.139601,,,0.16
250,0.129638,,,0.17
275,0.118656,,,0.16
280,,125.779,0.0000,
300,0.108930,,,0.74
325,0.101097,,,0.17
350,0.092269,,,0.17
375,0.084445,,,0.16
400,0.078455,,,0.16
420,,112.584,0.0000,
425,0.070605,,,0.77
450,0.064298,,,0.16
475,0.059055,,,0.16
500,0.053281,,,0.16
525,0.049346,,,0.17
550,0.045312,,,0.16
560,,131.850,0.0000,
575,0.041006,,,0.75
600,0.037603,,,0.16
625,0.034113,,,0.17
650,0.031399,,,0.16
675,0.028374,,,0.16
700,0.025844,,,0.16
700,,141.283,0.0000,
725,0.023513,,,0.77
750,0.021342,,,0.16
775,0.019843,,,0.17
800,0.018009,,,0.17
825,0.016463,,,0.18
840,,128.490,0.0000,
850,0.015399,,,0.76
875,0.013911,,,0.16
900,0.012919,,,0.17
925,0.011957,,,0.16
950,0.011130,,,0.15
975,0.010427,,,0.17
980,,141.819,0.0000,
1000,0.009629,,,0.75
1025,0.009111,,,0.17
1050,0.008607,,,0.16
1075,0.008146,,,0.17
1100,0.007577,,,0.16
1120,,136.580,0.0000,
1125,0.007093,,,0.75
1150,0.006641,,,0.16
1175,0.006319,,,0.17
1200,0.006263,,,0.17
1225,0.005760,,,0.17
1250,0.005428,,,0.17
1260,,154.286,0.0000,
1275,0.005325,,,0.75
1300,0.004970,,,0.17
1325,0.004647,,,0.17
1350,0.004410,,,0.16
1375,0.004184,,,0.17
1400,0.004020,,,0.16
1400,,158.403,0.0000,
1425,0.003861,,,0.76
1450,0.003644,,,0.16
1475,0.003471,,,0.17
1500,0.003339,,,0.16
1525,0.003185,,,0.17
1540,,151.918,0.0000,
1550,0.003064,,,0.75
1575,0.002979,,,0.16
1600,0.002848,,,0.16
1625,0.002792,,,0.17
1650,0.002636,,,0.16
1675,0.002536,,,0.17
1680,,152.125,0.0000,
1700,0.002472,,,0.78
1725,0.002376,,,0.17
1750,0.002290,,,0.16
1775,0.002193,,,0.17
1800,0.002115,,,0.17
1820,,146.943,0.0000,
1825,0.002038,,,0.76
1850,0.001988,,,0.16
1875,0.001909,,,0.17
1900,0.001857,,,0.16
1925,0.001832,,,0.17
1950,0.001753,,,0.16
