step,loss,lr,val_mediana_px,val_sub1px,val_sub2px,s_por_step
25,0.468858,1.25e-04,,,,0.36
50,0.447491,2.50e-04,,,,0.10
59,,,9.456,0.0040,0.0287,
75,0.443628,3.75e-04,,,,0.61
100,0.458818,5.00e-04,,,,0.10
118,,,9.669,0.0080,0.0282,
125,0.447252,6.25e-04,,,,0.61
150,0.446036,7.50e-04,,,,0.09
175,0.397096,8.75e-04,,,,0.10
177,,,9.159,0.0057,0.0270,
200,0.390439,1.00e-03,,,,0.60
225,0.399791,9.98e-04,,,,0.09
236,,,8.643,0.0103,0.0339,
250,0.352015,9.94e-04,,,,0.61
275,0.335147,9.86e-04,,,,0.09
295,,,7.851,0.0080,0.0402,
300,0.283208,9.75e-04,,,,0.62
325,0.291718,9.60e-04,,,,0.09
350,0.253469,9.43e-04,,,,0.09
354,,,6.241,0.0075,0.0615,
375,0.224436,9.23e-04,,,,0.62
400,0.219896,9.01e-04,,,,0.09
413,,,4.606,0.0259,0.1362,
425,0.171459,8.75e-04,,,,0.61
450,0.168189,8.48e-04,,,,0.10
472,,,5.031,0.0241,0.0948,
475,0.179630,8.18e-04,,,,0.62
500,0.142394,7.86e-04,,,,0.08
525,0.135648,7.52e-04,,,,0.10
531,,,4.910,0.0333,0.1121,
550,0.135333,7.17e-04,,,,0.61
575,0.129032,6.80e-04,,,,0.09
590,,,3.118,0.0707,0.2603,
600,0.121836,6.42e-04,,,,0.62
625,0.118546,6.03e-04,,,,0.09
649,,,3.370,0.0667,0.2184,
