step,loss,val_err_px,val_hit3px,s_por_step
25,0.230708,,,0.45
50,0.214791,,,0.17
75,0.201905,,,0.16
100,0.191119,,,0.17
125,0.179654,,,0.16
140,,138.008,0.0000,
150,0.173002,,,0.76
175,0.160664,,,0.17
200,0.150193,,,0.17
225,0.141326,,,0.17
250,0.129455,,,0.16
275,0.119167,,,0.17
280,,143.937,0.0000,
300,0.110459,,,0.75
325,0.102495,,,0.17
350,0.093655,,,0.17
375,0.087019,,,0.18
400,0.079537,,,0.17
420,,148.187,0.0000,
425,0.072873,,,0.75
450,0.066976,,,0.16
475,0.061433,,,0.17
500,0.056488,,,0.17
525,0.052086,,,0.17
550,0.049381,,,0.18
560,,152.364,0.0000,
575,0.045412,,,0.75
600,0.041321,,,0.17
625,0.038905,,,0.17
650,0.036510,,,0.17
675,0.033806,,,0.15
700,0.032904,,,0.16
700,,157.819,0.0000,
725,0.030442,,,0.76
750,0.028612,,,0.16
775,0.026541,,,0.17
800,0.026500,,,0.16
825,0.024425,,,0.18
840,,143.691,0.0000,
850,0.023655,,,0.75
875,0.022035,,,0.18
900,0.021038,,,0.17
925,0.020161,,,0.17
950,0.019870,,,0.17
975,0.018401,,,0.17
980,,143.286,0.0000,
1000,0.017941,,,0.79
1025,0.016489,,,0.17
1050,0.015338,,,0.17
1075,0.015319,,,0.17
1100,0.014084,,,0.17
1120,,131.867,0.0000,
1125,0.013699,,,0.79
1150,0.012352,,,0.16
1175,0.012233,,,0.17
1200,0.011265,,,0.17
1225,0.010444,,,0.17
1250,0.010146,,,0.17
1260,,85.947,0.0000,
1275,0.009490,,,0.76
1300,0.008345,,,0.17
1325,0.008112,,,0.17
1350,0.007708,,,0.18
1375,0.007180,,,0.16
1400,0.006948,,,0.16
1400,,67.698,0.0000,
1425,0.006826,,,0.77
1450,0.006262,,,0.17
1475,0.006174,,,0.16
1500,0.005504,,,0.17
1525,0.005167,,,0.17
1540,,65.566,0.0000,
1550,0.005158,,,0.76
1575,0.004667,,,0.16
1600,0.005124,,,0.17
1625,0.004597,,,0.17
1650,0.004358,,,0.17
1675,0.004172,,,0.16
1680,,53.279,0.0000,
1700,0.003899,,,0.76
1725,0.003721,,,0.17
1750,0.003880,,,0.17
1775,0.003557,,,0.16
1800,0.003209,,,0.17
1820,,28.809,0.0000,
1825,0.002956,,,0.77
1850,0.002885,,,0.16
1875,0.002785,,,0.17
1900,0.003031,,,0.16
1925,0.002817,,,0.18
1950,0.002606,,,0.17
1960,,55.028,0.0000,
1975,0.002444,,,0.75
2000,0.002545,,,0.16
2025,0.002235,,,0.17
2050,0.002172,,,0.17
2075,0.002170,,,0.17
2100,0.002189,,,0.15
2100,,27.735,0.0276,
2125,0.002405,,,0.77
2150,0.001886,,,0.16
2175,0.002128,,,0.16
2200,0.001944,,,0.16
2225,0.001779,,,0.17
2240,,30.134,0.0414,
2250,0.002012,,,0.76
2275,0.001966,,,0.17
2300,0.001705,,,0.17
2325,0.001496,,,0.17
2350,0.001655,,,0.16
2375,0.001529,,,0.17
2380,,16.548,0.6115,
2400,0.001690,,,0.75
2425,0.001986,,,0.16
2450,0.001371,,,0.17
2475,0.001596,,,0.17
2500,0.001374,,,0.17
2520,,24.499,0.1287,
2525,0.001300,,,0.76
2550,0.001326,,,0.15
2575,0.001330,,,0.17
2600,0.001133,,,0.16
2625,0.001254,,,0.17
2650,0.001094,,,0.16
2660,,19.820,0.2943,
2675,0.001298,,,0.78
2700,0.001067,,,0.17
2725,0.001011,,,0.17
2750,0.001117,,,0.17
2775,0.001405,,,0.17
2800,0.001283,,,0.16
2800,,29.693,0.3839,
2825,0.000935,,,0.77
2850,0.001155,,,0.17
2875,0.000971,,,0.17
2900,0.000976,,,0.16
2925,0.000787,,,0.16
2940,,16.030,0.6000,
2950,0.000819,,,0.80
2975,0.000882,,,0.16
3000,0.000797,,,0.17
3025,0.001015,,,0.17
3050,0.000721,,,0.17
3075,0.000971,,,0.17
3080,,19.314,0.3379,
3100,0.000737,,,0.77
3125,0.000676,,,0.16
3150,0.000772,,,0.16
3175,0.000680,,,0.17
3200,0.000852,,,0.17
3220,,14.785,0.6782,
3225,0.000760,,,0.79
3250,0.000718,,,0.17
3275,0.000823,,,0.17
3300,0.000745,,,0.17
3325,0.000748,,,0.17
3350,0.000768,,,0.17
3360,,18.817,0.3379,
3375,0.000669,,,0.76
3400,0.000592,,,0.17
3425,0.000678,,,0.18
3450,0.000672,,,0.17
3475,0.000663,,,0.17
3500,0.000809,,,0.16
3500,,15.203,0.6690,
3525,0.000537,,,0.79
3550,0.000533,,,0.17
3575,0.000608,,,0.18
3600,0.000812,,,0.16
3625,0.001014,,,0.17
3640,,20.351,0.3034,
3650,0.000633,,,0.76
3675,0.000691,,,0.17
3700,0.000527,,,0.16
3725,0.000583,,,0.17
3750,0.000712,,,0.16
3775,0.000558,,,0.16
3780,,14.836,0.7310,
3800,0.000468,,,0.78
3825,0.000606,,,0.17
3850,0.000601,,,0.17
3875,0.000585,,,0.17
3900,0.000560,,,0.17
3920,,19.085,0.2644,
3925,0.000428,,,0.76
3950,0.000429,,,0.16
3975,0.000569,,,0.16
4000,0.000482,,,0.17
4025,0.000466,,,0.17
4050,0.000716,,,0.17
4060,,17.454,0.4736,
4075,0.000490,,,0.77
4100,0.000379,,,0.17
4125,0.000435,,,0.18
4150,0.000423,,,0.17
4175,0.000600,,,0.17
4200,0.000446,,,0.16
4200,,16.931,0.4966,
